[WARN] 2018-03-09 11:40:58,116 org.springframework.data.mongodb.core.convert.CustomConversions register - Registering converter from class java.lang.Number to class java.lang.Number as writing converter although it doesn't convert to a Mongo supported type! You might wanna check you annotation setup at the converter implementation.
[ERROR] 2018-03-09 11:42:03,987 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:04,007 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:04,033 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:04,421 org.springframework.data.elasticsearch.repository.support.AbstractElasticsearchRepository <init> - failed to load elasticsearch nodes : org.elasticsearch.client.transport.NoNodeAvailableException: None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[WARN] 2018-03-09 11:42:20,847 org.dozer.config.GlobalSettings loadGlobalSettings - Dozer configuration file not found: dozer.properties.  Using defaults for all Dozer global properties.
[ERROR] 2018-03-09 11:42:22,210 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:22,378 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:22,385 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:22,391 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:22,638 com.dpdocter.elasticsearch.services.impl.ESRegistrationServiceImpl editLocation - Error while editing location None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:22,791 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,799 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,821 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,838 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,858 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,866 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,877 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,884 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,887 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,908 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,913 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,937 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,964 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:22,974 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,055 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,121 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,141 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,174 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,200 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,319 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,328 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,333 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,352 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addSystemExam - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Investigations
[ERROR] 2018-03-09 11:42:23,380 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,388 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,411 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,428 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,436 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,487 com.dpdocter.elasticsearch.services.impl.ESClinicalNotesServiceImpl addPresentComplaintHistory - NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]] Error Occurred While Saving Present Complaint History
[ERROR] 2018-03-09 11:42:23,625 com.dpdocter.elasticsearch.services.impl.ESRegistrationServiceImpl editLocation - Error while editing location None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
[ERROR] 2018-03-09 11:42:23,649 com.dpdocter.elasticsearch.services.impl.ESRegistrationServiceImpl editLocation - Error while editing location None of the configured nodes are available: [{#transport#-1}{54.68.86.9}{54.68.86.9:9300}]
